"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","AT","Austria",5822.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","BE","Belgium",5895.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","BG","Bulgaria",38.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","CY","Cyprus",17.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","CZ","Czechia",24137.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","DE","Germany",66106.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","DK","Denmark",3868.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EE","Estonia",114.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","ES","Spain",5331.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EU27_21","EU (without UK)",143151.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EU27_UK_21","EU (with UK until 2019)",201000.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",146080.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",203929.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","FI","Finland",4107.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","FR","France",3058.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","HU","Hungary",5809.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IE","Ireland",1885.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IS","Iceland",93.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IT","Italy",676.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LI","Liechtenstein",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LT","Lithuania",564.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LU","Luxembourg",366.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LV","Latvia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","MT","Malta",91.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","NL","Netherlands",3462.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","NO","Norway",2836.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","PL","Poland",192.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SE","Sweden",7106.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SI","Slovenia",1127.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SK","Slovakia",3380.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","UK","United Kingdom",57849.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","AT","Austria",4280.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","BE","Belgium",5111.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","BG","Bulgaria",19.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","CY","Cyprus",23.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","CZ","Czechia",20067.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","DE","Germany",64730.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","DK","Denmark",3470.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EE","Estonia",154.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","ES","Spain",5160.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EU27_21","EU (without UK)",134995.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EU27_UK_21","EU (with UK until 2019)",190604.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EUEEA30_21","EU/EEA (without UK)",137970.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",193579.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","FI","Finland",4453.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","FR","France",3424.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","HU","Hungary",5516.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","IE","Ireland",1752.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","IS","Iceland",98.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","IT","Italy",265.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LI","Liechtenstein",2.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LT","Lithuania",762.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LU","Luxembourg",467.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LV","Latvia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","MT","Malta",77.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","NL","Netherlands",3341.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","NO","Norway",2875.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","PL","Poland",270.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","SE","Sweden",7692.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","SI","Slovenia",898.000000000,""
